cvss_score,exploit_available,patch_available,days_since_disclosure,exposure,category,attack_probability,attack_likelihood
9.1,1,1,453,Internal,SQL Injection,0.6933649636114768,High
7.7,0,1,889,External,Weak Authentication,0.46234638585813337,Medium
9.0,0,0,313,External,Open Port / Unnecessary Service,0.7138703366908911,High
4.7,1,1,454,Internal,Misconfigured Server,0.4579852587761706,Medium
4.4,0,0,299,External,Cross-Site Scripting (XSS),0.40595317628875993,Medium
4.1,1,0,179,External,SQL Injection,0.7263320024265162,High
8.9,0,0,878,External,Cross-Site Scripting (XSS),0.7651440781470819,High
5.2,0,0,8,External,Misconfigured Server,0.5090958519194166,Medium
6.9,0,0,211,Internal,Outdated Software / Missing Patch,0.43028018791449835,Medium
7.9,1,1,95,External,Remote Code Execution,0.7141667625091803,High
9.6,0,0,847,External,Weak Authentication,0.8726339224462304,High
1.9,1,1,362,Internal,Insecure Direct Object Reference,0.39962404214418656,Medium
3.3,0,1,338,External,Insecure Direct Object Reference,0.26031304426062896,Low
3.7,0,1,100,External,Broken Access Control,0.2830736597435683,Low
2.9,1,0,210,Internal,Sensitive Data Exposure,0.4965156290952619,Medium
3.4,1,0,585,External,Misconfigured Server,0.6077634434002007,Medium
3.2,1,1,517,Internal,Sensitive Data Exposure,0.4311537425727479,Medium
5.8,0,0,267,External,Cross-Site Scripting (XSS),0.5028797555476954,Medium
9.0,1,1,254,External,Misconfigured Server,0.880424641126922,High
5.8,0,0,324,External,Cross-Site Scripting (XSS),0.5771077331814124,Medium
5.3,1,0,335,Internal,Insecure Direct Object Reference,0.4715468392393725,Medium
3.3,0,0,142,Internal,Remote Code Execution,0.2584740181902545,Low
6.5,0,1,476,Internal,Insecure Direct Object Reference,0.23807106946826007,Low
9.9,1,1,334,Internal,Misconfigured Server,0.7695374555179817,High
9.3,0,0,838,External,Weak Authentication,0.7234608490119467,High
6.6,1,1,744,External,Outdated Software / Missing Patch,0.7657536059426832,High
4.9,1,0,497,Internal,Remote Code Execution,0.5448548746709462,Medium
1.6,0,0,391,External,Cross-Site Scripting (XSS),0.43514373412199725,Medium
4.5,1,0,373,External,Broken Access Control,0.8242258905797445,High
6.9,1,1,552,Internal,Remote Code Execution,0.537928114535356,Medium
2.6,1,1,525,External,SQL Injection,0.5648074227599825,Medium
9.0,1,1,408,External,Insecure Direct Object Reference,0.7940015452471574,High
3.7,1,1,661,External,Broken Access Control,0.6020437253791856,Medium
6.1,1,1,652,External,Remote Code Execution,0.647440373260994,Medium
6.8,0,1,418,Internal,Misconfigured Server,0.42257949795125316,Medium
1.8,1,1,660,Internal,Open Port / Unnecessary Service,0.3192076911125333,Low
3.9,0,1,845,Internal,Sensitive Data Exposure,0.20764025369456973,Low
7.0,0,0,689,Internal,Cross-Site Scripting (XSS),0.478351924333304,Medium
7.1,1,0,864,External,Insecure Direct Object Reference,0.8351219660791936,High
9.6,1,0,277,Internal,Open Port / Unnecessary Service,0.7854232674022738,High
9.8,0,1,490,External,SQL Injection,0.5900402299008741,Medium
8.9,1,1,159,External,Remote Code Execution,0.8026602955915187,High
3.9,0,1,399,Internal,Open Port / Unnecessary Service,0.13913953491165154,Low
3.2,1,1,285,External,Sensitive Data Exposure,0.5379339295532184,Medium
7.7,1,1,95,External,Misconfigured Server,0.7414331315421656,High
3.2,1,0,275,External,Outdated Software / Missing Patch,0.6425914775875711,Medium
4.7,0,1,262,Internal,Sensitive Data Exposure,0.2288900533002453,Low
1.1,0,1,121,Internal,Sensitive Data Exposure,0.04156711125438617,Low
8.0,0,1,406,Internal,Remote Code Execution,0.42021612597752467,Medium
2.4,0,1,790,External,Remote Code Execution,0.2857290925995974,Low
1.6,0,1,225,External,Outdated Software / Missing Patch,0.2276675201852058,Low
7.0,0,1,518,External,Cross-Site Scripting (XSS),0.46053871097798516,Medium
6.0,0,1,717,External,Open Port / Unnecessary Service,0.43350759132757155,Medium
10.0,0,0,615,External,Broken Access Control,0.670942027125681,High
3.9,0,1,189,External,SQL Injection,0.3619392460438982,Medium
4.2,1,1,815,External,Sensitive Data Exposure,0.5771518768951532,Medium
3.9,1,1,151,External,Misconfigured Server,0.5465960689794727,Medium
2.3,1,0,293,External,Cross-Site Scripting (XSS),0.6377400103783378,Medium
1.6,0,0,79,External,Misconfigured Server,0.34651755718611554,Low
1.3,1,1,308,Internal,Cross-Site Scripting (XSS),0.3056053735608576,Low
8.7,1,1,409,Internal,Sensitive Data Exposure,0.5632589316977821,Medium
4.6,1,0,295,External,Broken Access Control,0.7444145532536677,High
7.8,0,1,371,Internal,Outdated Software / Missing Patch,0.38458928405571413,Medium
7.8,0,0,304,Internal,Cross-Site Scripting (XSS),0.3972698281153002,Medium
8.4,0,1,768,External,Cross-Site Scripting (XSS),0.6091827708063915,Medium
5.0,0,1,857,External,Remote Code Execution,0.3875561210894398,Medium
2.7,0,1,851,External,Outdated Software / Missing Patch,0.2624683719701128,Low
6.1,1,1,334,Internal,Broken Access Control,0.5478420911037684,Medium
1.4,1,1,557,External,Outdated Software / Missing Patch,0.4850209228744837,Medium
7.8,1,1,142,Internal,Weak Authentication,0.6190200889384462,Medium
5.7,0,1,575,Internal,Open Port / Unnecessary Service,0.20815704152822256,Low
1.0,0,1,696,Internal,Open Port / Unnecessary Service,0.17427817248028532,Low
9.0,0,1,756,Internal,Remote Code Execution,0.4168670692728136,Medium
2.9,1,0,271,Internal,Open Port / Unnecessary Service,0.418572590130735,Medium
1.9,0,1,469,Internal,Cross-Site Scripting (XSS),0.14249766498391303,Low
8.7,0,1,220,Internal,SQL Injection,0.3859820157171634,Medium
3.4,1,0,721,External,Sensitive Data Exposure,0.7092984798442007,High
1.9,0,0,414,Internal,Open Port / Unnecessary Service,0.19151957846874806,Low
8.7,1,1,623,External,Insecure Direct Object Reference,0.8231240930871151,High
1.4,0,0,422,External,Remote Code Execution,0.34873308663137614,Low
8.3,0,1,294,External,Misconfigured Server,0.5025006891341884,Medium
9.7,0,1,715,Internal,Insecure Direct Object Reference,0.5101592020152002,Medium
3.9,0,0,718,External,Sensitive Data Exposure,0.4418938839349117,Medium
4.2,0,1,720,External,Open Port / Unnecessary Service,0.3355156427914764,Low
9.4,0,0,244,External,Misconfigured Server,0.6904071766466807,High
5.2,1,1,333,Internal,Weak Authentication,0.5247520639245521,Medium
4.4,0,0,451,Internal,Broken Access Control,0.3116015884746236,Low
2.9,1,1,479,External,Outdated Software / Missing Patch,0.513985121757133,Medium
9.3,1,1,893,External,SQL Injection,0.8991003894265429,High
4.5,1,1,881,Internal,SQL Injection,0.4134280048383056,Medium
7.1,1,0,302,External,Broken Access Control,0.7847345709760012,High
5.5,0,0,511,Internal,Broken Access Control,0.37786503341555816,Medium
8.9,0,1,53,Internal,Outdated Software / Missing Patch,0.3353914745291911,Low
8.0,0,1,217,External,Remote Code Execution,0.5234552687680141,Medium
8.7,0,1,865,Internal,Sensitive Data Exposure,0.43681239965463237,Medium
1.9,1,1,220,External,Insecure Direct Object Reference,0.5426592116651308,Medium
6.5,0,1,115,Internal,Misconfigured Server,0.25314937129822435,Low
8.2,1,0,635,External,Weak Authentication,0.8729824515956957,High
1.2,0,1,390,Internal,Open Port / Unnecessary Service,0.09232575090171667,Low
7.0,0,1,123,External,SQL Injection,0.348955153823043,Low
5.7,0,0,517,Internal,Cross-Site Scripting (XSS),0.5402243371679515,Medium
1.9,1,1,202,External,Sensitive Data Exposure,0.4617896856991338,Medium
1.7,1,1,795,External,Open Port / Unnecessary Service,0.4841749140303888,Medium
4.9,0,1,333,External,Remote Code Execution,0.4320563755451857,Medium
1.4,1,0,470,Internal,Remote Code Execution,0.4371195190393269,Medium
9.4,1,0,255,External,SQL Injection,0.8481952357314871,High
2.4,0,1,784,Internal,Insecure Direct Object Reference,0.18290192456018617,Low
5.0,0,1,260,Internal,Weak Authentication,0.2822133361444049,Low
3.6,1,0,606,External,Sensitive Data Exposure,0.6731693529928696,High
8.5,1,1,326,Internal,Remote Code Execution,0.6365310931965099,Medium
8.2,0,1,868,External,Sensitive Data Exposure,0.5915214520851919,Medium
7.3,0,1,776,Internal,Weak Authentication,0.32617209861538865,Low
4.5,0,0,511,External,Broken Access Control,0.5028083170992343,Medium
9.4,1,0,284,Internal,Cross-Site Scripting (XSS),0.7987427033000027,High
9.8,0,1,598,External,Remote Code Execution,0.5904755914334264,Medium
3.1,0,0,839,Internal,SQL Injection,0.21650601742051892,Low
6.1,1,1,594,Internal,Open Port / Unnecessary Service,0.5462197084619457,Medium
8.2,1,1,562,Internal,Remote Code Execution,0.6064511093092139,Medium
1.8,0,1,559,Internal,Remote Code Execution,0.16212606683956376,Low
7.9,0,0,555,External,Weak Authentication,0.6435376017583295,Medium
7.1,0,0,691,Internal,Broken Access Control,0.4969931150168837,Medium
9.4,0,0,530,External,Misconfigured Server,0.7091755412116675,High
5.6,0,1,89,External,Misconfigured Server,0.42008950029869596,Medium
4.8,0,1,217,External,Outdated Software / Missing Patch,0.3389056096940365,Low
1.5,1,1,445,External,Sensitive Data Exposure,0.5256245935508295,Medium
1.5,1,1,673,External,Broken Access Control,0.5941238026042401,Medium
6.7,1,1,272,External,Weak Authentication,0.7011267333352341,High
7.0,1,1,539,External,Misconfigured Server,0.715305718058737,High
5.6,1,1,479,External,Outdated Software / Missing Patch,0.6707192760015935,High
2.2,0,1,102,External,Broken Access Control,0.23060265248661047,Low
3.5,0,1,722,Internal,Cross-Site Scripting (XSS),0.16253714617843412,Low
3.6,0,1,655,External,Broken Access Control,0.3552985710872972,Medium
2.6,0,1,722,Internal,Cross-Site Scripting (XSS),0.14256523445860658,Low
3.8,0,1,746,Internal,Broken Access Control,0.2843881241365774,Low
5.3,1,1,99,External,Sensitive Data Exposure,0.6440100821477562,Medium
8.4,0,1,164,External,Cross-Site Scripting (XSS),0.5533067099926825,Medium
4.5,0,1,158,Internal,Weak Authentication,0.25887887117776787,Low
2.2,0,0,774,Internal,Weak Authentication,0.22696220737477288,Low
7.9,1,1,565,External,Open Port / Unnecessary Service,0.8587257158933359,High
10.0,1,1,749,External,Remote Code Execution,0.8599764004851055,High
5.1,0,0,523,External,Misconfigured Server,0.4681391704612494,Medium
4.7,1,1,578,Internal,Sensitive Data Exposure,0.4752977601685985,Medium
3.0,1,1,693,External,Remote Code Execution,0.5677641304016432,Medium
9.0,0,1,674,External,Outdated Software / Missing Patch,0.522378534439492,Medium
9.4,0,1,553,Internal,Outdated Software / Missing Patch,0.45196748301577994,Medium
2.8,0,1,689,External,Misconfigured Server,0.23090344825580678,Low
7.1,0,0,203,Internal,Sensitive Data Exposure,0.5003846978050527,Medium
9.2,0,1,899,Internal,Sensitive Data Exposure,0.4598945968740597,Medium
3.5,1,0,5,External,Misconfigured Server,0.6256798915429791,Medium
3.3,1,1,521,External,Weak Authentication,0.5320275385302657,Medium
2.9,0,1,327,Internal,Remote Code Execution,0.12944514295625684,Low
2.9,0,1,691,Internal,SQL Injection,0.15773491546736756,Low
7.7,0,0,156,External,Cross-Site Scripting (XSS),0.5529411183860987,Medium
5.3,1,1,664,External,Open Port / Unnecessary Service,0.6293991341977472,Medium
4.7,0,1,65,External,Outdated Software / Missing Patch,0.35575236085803436,Medium
7.8,0,1,118,Internal,Outdated Software / Missing Patch,0.3315163681657735,Low
5.2,0,1,191,External,Remote Code Execution,0.4415717662950272,Medium
3.4,0,0,248,External,Cross-Site Scripting (XSS),0.4736712964900541,Medium
4.6,0,1,569,Internal,Weak Authentication,0.2394121712911056,Low
2.5,1,1,145,External,Outdated Software / Missing Patch,0.544235534158282,Medium
8.7,1,0,471,External,SQL Injection,0.8509072479854106,High
3.8,1,1,542,External,Cross-Site Scripting (XSS),0.6329819965827419,Medium
9.4,1,1,51,External,Sensitive Data Exposure,0.8243041598576702,High
7.7,1,1,559,Internal,Outdated Software / Missing Patch,0.6517889713530974,High
3.1,0,1,455,Internal,Insecure Direct Object Reference,0.2447955843574608,Low
8.1,1,0,697,External,Broken Access Control,0.789179334405004,High
5.7,0,1,408,External,Remote Code Execution,0.4422140756193382,Medium
9.3,1,1,320,External,Open Port / Unnecessary Service,0.7813218246193847,High
9.9,0,1,554,Internal,Sensitive Data Exposure,0.5058876123480022,Medium
8.1,0,1,432,Internal,Sensitive Data Exposure,0.3228343281285767,Low
7.9,0,1,265,External,Open Port / Unnecessary Service,0.4954522438720226,Medium
1.2,0,1,288,External,Insecure Direct Object Reference,0.23013668778801866,Low
1.5,0,1,675,Internal,SQL Injection,0.13567546932176863,Low
9.5,0,1,485,External,Outdated Software / Missing Patch,0.608184148911273,Medium
7.7,1,0,493,External,Insecure Direct Object Reference,0.8342473419394983,High
3.2,0,0,307,External,Remote Code Execution,0.38337894466978517,Medium
6.7,1,1,93,External,Misconfigured Server,0.7508918112291357,High
6.8,0,1,753,Internal,Sensitive Data Exposure,0.3475583525490064,Low
6.2,0,1,153,External,Remote Code Execution,0.35330928015794716,Medium
4.0,0,0,120,Internal,SQL Injection,0.32884980208015124,Low
1.6,1,0,28,External,Cross-Site Scripting (XSS),0.5943679795412292,Medium
6.2,1,1,368,External,Sensitive Data Exposure,0.7431152217070419,High
5.7,1,1,634,External,Weak Authentication,0.6748908489033882,High
2.5,1,0,380,Internal,Cross-Site Scripting (XSS),0.5250189370324416,Medium
8.6,0,1,581,Internal,Sensitive Data Exposure,0.36622453177769404,Medium
7.9,0,0,407,External,Open Port / Unnecessary Service,0.6566111016543842,High
3.7,1,0,305,External,Insecure Direct Object Reference,0.6589254289630415,High
6.5,1,0,295,External,Open Port / Unnecessary Service,0.8426064741348962,High
7.1,0,1,47,Internal,Misconfigured Server,0.3723933169319306,Medium
3.0,0,1,694,External,Outdated Software / Missing Patch,0.2867560479551291,Low
5.9,1,1,486,External,Misconfigured Server,0.6899385260250629,High
9.4,0,1,578,External,Open Port / Unnecessary Service,0.6070588424339111,Medium
1.6,0,1,463,External,Remote Code Execution,0.30720546311425356,Low
5.2,1,1,530,Internal,Cross-Site Scripting (XSS),0.5489723490129336,Medium
1.9,0,1,330,External,Broken Access Control,0.19286945613281037,Low
1.3,1,0,95,Internal,Remote Code Execution,0.4366581908132056,Medium
6.6,0,1,277,External,Misconfigured Server,0.49964334935784577,Medium
3.1,1,1,141,External,Broken Access Control,0.6535236281297205,High
10.0,0,0,315,Internal,Outdated Software / Missing Patch,0.48354254516229045,Medium
6.2,1,1,99,External,Insecure Direct Object Reference,0.6576823850033005,High
8.7,1,0,341,External,Insecure Direct Object Reference,0.9771130038488112,High
3.7,0,1,404,External,Remote Code Execution,0.2711909295141098,Low
8.2,0,0,573,External,Insecure Direct Object Reference,0.5908603041370971,Medium
5.5,1,1,611,Internal,Broken Access Control,0.5572985542134594,Medium
4.0,0,0,479,External,Sensitive Data Exposure,0.5075315441550503,Medium
3.1,1,1,159,Internal,SQL Injection,0.3648993089645557,Medium
2.6,1,0,618,Internal,SQL Injection,0.5283396919479364,Medium
6.2,0,1,93,External,Cross-Site Scripting (XSS),0.44001443013816405,Medium
5.0,0,0,407,External,Sensitive Data Exposure,0.5735485628120478,Medium
1.1,0,1,304,Internal,Insecure Direct Object Reference,0.06631296690345206,Low
2.8,1,1,177,External,Insecure Direct Object Reference,0.5853456989317367,Medium
5.4,0,1,694,Internal,Weak Authentication,0.2363996625898423,Low
1.4,0,1,323,External,SQL Injection,0.22170050197134336,Low
